nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
83,0.6018622714571464,0.5957224691087105,0.6225648874515064,nan,2.7094007470431183e-06
84,0.6018600518848448,0.5957215918144669,0.6225646001214831,nan,2.90044823980499e-06
85,0.6018609724996786,0.5957226096985442,0.6225635238041308,nan,2.8447717739651676e-06
86,0.6000792869801921,0.6036912729796275,0.614443573564504,nan,3.044267269447294e-06
87,0.600079054405883,0.6036908577131509,0.6144435376841045,nan,3.0408435964734896e-06
88,0.6000783187639163,0.6036896173844999,0.6144470291315125,nan,2.704661386786708e-06
89,0.6000800590057178,0.6036916237619121,0.6144432718537892,nan,2.2970969331070186e-06
90,0.6000791904937753,0.6036910084614582,0.614445487465038,nan,2.3471113524971897e-06
91,0.6000802052672055,0.603691333579771,0.6144453657590299,nan,2.9153623490676675e-06
92,0.6000802242379297,0.6036917582902517,0.6144454162717417,nan,2.6672792950026112e-06
93,0.6000792236476788,0.6036912624786013,0.6144460562471509,nan,2.6532910894815537e-06
94,0.6000803052637139,0.603691318551006,0.6144464689912572,nan,2.5562739626734596e-06
95,0.6000798587841185,0.6036917920519963,0.6144468208299221,nan,2.70630672334683e-06
96,0.6000794275804042,0.6036902940505182,0.6144450101122846,nan,3.117502830830336e-06
97,0.6000799266666258,0.6036910406662758,0.6144458038068963,nan,2.9563559624069315e-06
98,0.6000789035515448,0.6036893346891019,0.6144435664413578,nan,2.6234650450429608e-06
99,0.6000794985405664,0.6036917636060402,0.6144444562515489,nan,2.9207787633076807e-06
100,0.6000797984360238,0.6036914755072713,0.6144471607773719,nan,2.628339705664574e-06
101,0.6000797272652642,0.6036911980199375,0.6144455291190212,nan,2.3729097747735552e-06
102,0.6000790794829989,0.6036900962699963,0.614443876293761,nan,2.2800416628071605e-06
103,0.6000785030215322,0.6036906190451898,0.6144460222424539,nan,3.111976524428064e-06
104,0.6000809867677651,0.6036909424858635,0.6144446452764616,nan,2.8347752297644584e-06
105,0.600080091799807,0.6036913052469272,0.6144467953877978,nan,3.0196427989380927e-06
106,0.600080712746345,0.6036918383605971,0.6144456394355557,nan,2.9795116604878554e-06
107,0.6000776363959897,0.6036893718889155,0.614446751488426,nan,2.8056962464446324e-06
108,0.6000794880460527,0.6036893757952749,0.6144461594068718,nan,2.6774466540941554e-06
109,0.6000789678750269,0.6036913101583893,0.6144454924986822,nan,2.9042235105219714e-06
110,0.6000789611993235,0.6036904039639459,0.6144490148205236,nan,2.9273515003622162e-06
111,0.6000790951401929,0.6036912709559557,0.614445545523346,nan,3.0365319585781734e-06
112,0.6000798863566852,0.603690481701164,0.614447678199298,nan,2.5820198097460338e-06
113,0.6000786717038291,0.6036901790979364,0.6144463806631856,nan,2.335109187280752e-06
114,0.6000794537458677,0.6036906701895415,0.614445308522891,nan,2.523114912557882e-06
115,0.600737412767526,0.6027050105542615,0.6145838670609136,nan,3.0351481929885157e-06
116,0.6008410766416281,0.6030886205686591,0.614372855060225,nan,2.332777452356892e-06
117,0.6008413535724871,0.6030890643513844,0.6143716863103578,nan,2.8946450718942456e-06
118,0.6008405972842528,0.6030890989872402,0.6143713344737087,nan,2.3501778087358988e-06
119,0.6008410769975525,0.6030891387813643,0.614372621888738,nan,2.6789128064394483e-06
120,0.6008413210156943,0.6030878445698454,0.6143711417509898,nan,2.8701754195754237e-06
121,0.6008423965017855,0.6030901843173601,0.6143720401432857,nan,2.33740190820027e-06
122,0.6008422044287312,0.6030898046204693,0.6143695861040175,nan,2.5129930976046055e-06
123,0.600841896464345,0.603088566921887,0.6143728006552307,nan,2.5019986332028385e-06
124,0.6008543693636664,0.6042766898608743,0.6141531327051067,nan,2.953667822827932e-06
125,0.6012162411291777,0.6040713892436248,0.6141857063165194,nan,2.5439814812510353e-06
126,0.601216488378784,0.6040712056593321,0.6141850120681074,nan,3.1177909450810184e-06
127,0.6012174471401682,0.6040708244683547,0.6141839112036294,nan,2.454542954762129e-06
128,0.6012158781955388,0.6040704956397854,0.614188115345752,nan,2.8002415909886837e-06
129,0.6012172285234824,0.6040726148822344,0.6141847573347958,nan,2.921949538720783e-06
130,0.6012158922545113,0.604070540461081,0.6141858927298086,nan,2.548131516658025e-06
131,0.6013323811341066,0.6048858646172152,0.6140487784705231,nan,2.9554149174161214e-06
132,0.6013331789509992,0.604885431675138,0.614048992787068,nan,2.2739658797053635e-06
133,0.6013333433678258,0.6048861628763961,0.6140488222977746,nan,2.9093038767202888e-06
134,0.6013333564656935,0.6048848345515555,0.6140511622068148,nan,2.151361515696776e-06
135,0.6013344384192072,0.6048863810318892,0.6140517989307609,nan,2.3138509821867765e-06
136,0.601333601605539,0.604885769230078,0.6140518685760169,nan,3.255760402121758e-06
137,0.6013341068438963,0.6048864565575085,0.6140522795547406,nan,2.7475405071141326e-06
138,0.601332876021569,0.6048856681878525,0.6140501199738179,nan,3.001858595331424e-06
139,0.601333307680808,0.60488527582368,0.6140507967470438,nan,2.9053789288794493e-06
140,0.6013342579387153,0.6048853146206052,0.6140504829821088,nan,3.2481296841764916e-06
141,0.6013341723155674,0.6048852836378096,0.6140511050120863,nan,2.861844154721993e-06
