nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
58,0.6238326317982656,0.5983512295986505,0.6246237928947138,0.6060922954684681,4.032428875735979e-05
59,0.6238257679900177,0.5982848285362335,0.6246547228808222,0.6060428766677075,2.469348292405563e-05
60,0.6238315991439869,0.5983113889612003,0.6246602235506895,0.6060540619674251,3.771991822384694e-05
61,0.623848849409798,0.5983379493861671,0.6246680476593818,0.6060867028186095,4.1155804873407704e-05
62,0.6238573338231366,0.5983645098111339,0.6246809821496913,0.6061193436697939,3.771991822384694e-05
63,0.6238276704415169,0.5983379493861671,0.6246615077756581,0.6060795509681205,4.1155804873407704e-05
64,0.6238486668723263,0.5983246691736837,0.62465421465757,0.6060739583182617,4.032428875735979e-05
65,0.6238499841213521,0.5983379493861671,0.6246733642676807,0.6060867028186095,4.1155804873407704e-05
66,0.6238469916757854,0.5983246691736837,0.6246675972156096,0.6060811101687508,4.032428875735979e-05
67,0.6238315358042386,0.5982981087487169,0.6246609539986563,0.6060413174670772,3.292464389873167e-05
68,0.6238546694454011,0.5983512295986505,0.6246726262286854,0.6060922954684681,4.032428875735979e-05
69,0.6238267453292824,0.5983379493861671,0.6246742624772674,0.6060795509681205,4.1155804873407704e-05
70,0.6238255016641061,0.5983246691736837,0.6246960545310378,0.6060739583182617,4.032428875735979e-05
71,0.6238408566240504,0.5982848285362335,0.6246667794585059,0.6060357248172187,2.469348292405563e-05
72,0.6238630142446251,0.5983512295986505,0.6246740598694064,0.6060994473189572,4.032428875735979e-05
73,0.6238241698774343,0.5982972546855819,0.6246480292608182,0.606043875047285,6.400146259385713e-05
74,0.6238418571514008,0.5983246691736837,0.624695413643248,0.6060668064677728,4.032428875735979e-05
75,0.6234072468539682,0.5982848285362335,0.6247469502179965,0.6059395664274962,2.469348292405563e-05
76,0.6231400453265544,0.5977991387863989,0.6247603954663087,0.605802041333594,3.771991822384694e-05
77,0.6237441523254167,0.5958234774454129,0.6248689512635581,0.6038822464984882,8.367074048363187e-05
78,0.6233896836010395,0.5949493938121488,0.6251051261803658,0.6030998854553882,7.571651838720713e-05
79,0.6232517336017022,0.5944712566868291,0.6252219830388634,0.6027032396759596,9.47264198890914e-05
80,0.6229531254687226,0.593830424971941,0.625330936341794,0.6019498854906391,8.450225659967978e-05
81,0.6229462598239014,0.5937477577820284,0.6253149697005891,0.6018517921583811,7.347153672174226e-05
82,0.6229691295121541,0.5938141588444452,0.6253404902507441,0.6019155146601196,7.826681104685753e-05
83,0.6229455832253435,0.5938151541494493,0.6253126441799063,0.6019203394866806,8.367074048363187e-05
84,0.6224138620278307,0.5947172132933165,0.6250734453532989,0.6034929380925103,8.170269769641143e-05
85,0.6217346555252249,0.5960053939042063,0.6246911279984415,0.6055571940427553,7.347153672173676e-05
86,0.6212811802957912,0.5969871343229738,0.6245667336478651,0.6073272502377459,7.311214785368798e-05
